matrix_name,num_samples,num_mutations,mut_mod,clone_used,k_persistent,time,total_error,accuracy
0,5,10,0.4,4,0,45,1.9809,0.171601189157
0,5,10,1.0,10,0,300,0.804,0.0983685256654
0,5,10,0.8,8,0,300,0.8435,0.0899784439258
0,5,10,0.6,6,0,300,1.2724,0.120941034023
1,5,10,0.4,4,0,21,1.6582,0.145616382429
2,5,10,0.4,4,0,18,1.5229,0.184465653433
1,5,10,1.0,10,0,300,1.0772,0.118450995534
1,5,10,0.6,6,0,187,1.3582,0.134172026632
1,5,10,0.8,8,0,300,1.124,0.127574386867
3,5,10,0.4,4,0,53,1.6098,0.134549768455
2,5,10,1.0,10,0,300,0.7482,0.144130241081
2,5,10,0.6,6,0,300,1.1394,0.158140273331
4,5,10,0.4,4,0,69,1.3199,0.124362665288
2,5,10,0.8,8,0,300,0.8727,0.150107854169
5,5,10,0.4,4,0,23,1.3592,0.117043022513
3,5,10,0.6,6,0,238,1.0103,0.104911131037
3,5,10,1.0,10,0,300,0.4398,0.0559932528974
6,5,10,0.4,4,0,41,1.4799,0.134212845513
3,5,10,0.8,8,0,300,0.8387,0.0858125522549
7,5,10,0.4,4,0,60,2.1468,0.227949947995
4,5,10,0.6,6,0,300,0.8104,0.0924542176097
4,5,10,1.0,10,0,300,0.5354,0.0756041153924
4,5,10,0.8,8,0,300,0.6003,0.0737024463604
8,5,10,0.4,4,0,46,1.6607,0.144379076651
5,5,10,0.6,6,0,300,0.7812,0.0884919700673
5,5,10,1.0,9,0,300,0.3643,0.0624340683047
9,5,10,0.4,4,0,102,1.718,0.15409544814
5,5,10,0.8,8,0,300,0.5752,0.0773536147333
10,5,10,0.4,4,0,133,2.0436,0.204366516135
6,5,10,0.6,6,0,300,0.9848,0.112480979636
6,5,10,1.0,10,0,300,0.4754,0.0626408925042
6,5,10,0.8,8,0,300,0.6615,0.0922186937927
11,5,10,0.4,4,0,20,1.1306,0.0877319087079
12,5,10,0.4,4,0,20,1.5795,0.167719666036
7,5,10,0.6,6,0,300,1.2363,0.143389165421
7,5,10,1.0,10,0,300,0.8931,0.115701976094
7,5,10,0.8,8,0,300,1.0363,0.134004643789
13,5,10,0.4,4,0,92,2.2105,0.250294262521
8,5,10,0.6,6,0,300,1.1531,0.111783682583
8,5,10,1.0,10,0,300,0.4691,0.0862503401002
8,5,10,0.8,8,0,300,0.777,0.102459177881
14,5,10,0.4,4,0,160,2.3751,0.223024731756
15,5,10,0.4,4,0,74,2.3711,0.212040935629
9,5,10,0.6,6,0,300,1.34,0.145777648407
9,5,10,1.0,10,0,300,1.049,0.139371830951
9,5,10,0.8,8,0,300,0.9991,0.119772599772
16,5,10,0.4,4,0,109,1.5947,0.159314047318
10,5,10,0.6,6,0,300,1.306,0.154891615202
10,5,10,1.0,10,0,300,0.9683,0.142577996234
17,5,10,0.4,4,0,26,1.7338,0.158510848425
10,5,10,0.8,8,0,300,1.0635,0.146127642068
11,5,10,1.0,10,0,300,0.151,0.0318440066616
11,5,10,0.6,6,0,104,0.5564,0.0633317471038
18,5,10,0.4,4,0,124,1.6797,0.178563165864
11,5,10,0.8,8,0,300,0.2989,0.0461907980923
19,5,10,0.4,4,0,14,1.3747,0.113371417575
12,5,10,0.6,6,0,298,1.0244,0.110617188473
12,5,10,1.0,10,0,300,0.6677,0.0982783945075
20,5,10,0.4,4,0,83,1.5332,0.199981328586
12,5,10,0.8,8,0,272,0.7448,0.0994486318471
21,5,10,0.4,4,0,40,2.0046,0.207771132854
13,5,10,0.6,6,0,300,1.5429,0.200085438811
13,5,10,1.0,10,0,300,1.0099,0.173499766033
22,5,10,0.4,4,0,51,2.0552,0.200047863085
13,5,10,0.8,8,0,300,1.1898,0.165026744244
14,5,10,0.6,6,0,300,1.7106,0.188547211437
14,5,10,1.0,10,0,300,1.1102,0.145729757958
23,5,10,0.4,4,0,9,1.5314,0.101015207359
14,5,10,0.8,8,0,300,1.1424,0.134003381523
24,5,10,0.4,4,0,32,1.4685,0.225155005109
15,5,10,0.6,6,0,300,1.6968,0.1993040673
15,5,10,1.0,10,0,300,1.0725,0.149466582496
25,5,10,0.4,4,0,58,2.1546,0.210726039779
15,5,10,0.8,8,0,300,1.1141,0.155353387085
26,5,10,0.4,4,0,23,1.5209,0.10702999678
27,5,10,0.4,4,0,24,2.3568,0.399992044461
16,5,10,0.6,6,0,289,0.8527,0.0910848759045
16,5,10,1.0,10,0,300,0.4699,0.0683114989862
16,5,10,0.8,8,0,300,0.5731,0.0745762925803
28,5,10,0.4,4,0,248,2.5854,0.211133681048
17,5,10,0.6,6,0,252,1.1877,0.127478478094
17,5,10,1.0,10,0,300,0.7872,0.106911977749
29,5,10,0.4,4,0,33,1.2117,0.20232221614
17,5,10,0.8,8,0,300,0.9862,0.114072937396
18,5,10,0.6,6,0,300,1.0989,0.138004985016
18,5,10,1.0,10,0,300,0.5281,0.0948656501312
19,5,10,1.0,10,0,48,0.0528,0.0109646325175
19,5,10,0.6,6,0,27,0.5237,0.056339286482
18,5,10,0.8,8,0,300,0.6957,0.101543370754
20,5,10,1.0,9,0,300,0.5815,0.101294883802
19,5,10,0.8,8,0,104,0.2196,0.0315071648155
20,5,10,0.6,6,0,300,0.8653,0.115360911174
21,5,10,1.0,10,0,300,0.9625,0.129645712981
20,5,10,0.8,8,0,300,0.6084,0.102894973784
21,5,10,0.6,6,0,300,1.2782,0.133882250856
22,5,10,1.0,10,0,222,0.6205,0.126050095227
21,5,10,0.8,8,0,300,1.0971,0.145683344847
22,5,10,0.6,6,0,296,1.4102,0.161531077398
23,5,10,0.6,6,0,32,0.9038,0.0611333922019
23,5,10,1.0,10,0,300,0.5463,0.0503215896918
22,5,10,0.8,8,0,198,0.9129,0.141976537866
24,5,10,0.6,6,0,145,0.8731,0.118975877032
23,5,10,0.8,8,0,162,0.6477,0.0537522622477
24,5,10,1.0,10,0,178,0.2082,0.0554952182839
25,5,10,0.6,6,0,267,1.3944,0.171265055862
24,5,10,0.8,8,0,230,0.4426,0.0815724762137
25,5,10,1.0,10,0,300,0.8197,0.126366841122
26,5,10,0.6,6,0,212,1.0639,0.0889191858666
25,5,10,0.8,8,0,300,1.1025,0.164251270804
26,5,10,1.0,10,0,300,0.6686,0.0712224540922
27,5,10,0.6,6,0,291,1.6331,0.347364974489
26,5,10,0.8,8,0,300,0.8097,0.0642651892018
27,5,10,1.0,10,0,300,0.9862,0.221751493321
28,5,10,0.6,6,0,300,2.0262,0.198219648843
27,5,10,0.8,8,0,300,1.1103,0.245225084204
28,5,10,1.0,9,0,300,1.1438,0.130314954551
29,5,10,0.6,6,0,300,0.692,0.114701865568
28,5,10,0.8,8,0,300,1.8669,0.160136214331
29,5,10,1.0,10,0,300,0.177,0.0434805689328
29,5,10,0.8,8,0,300,0.4024,0.0783063429623
30,5,10,0.4,4,0,45,2.2877,0.268929377762
30,5,10,0.6,6,0,192,1.4699,0.205312288197
30,5,10,1.0,10,0,300,0.9106,0.146083115291
30,5,10,0.8,8,0,300,1.1188,0.157471327844
31,5,10,0.4,4,0,51,1.773,0.308837211922
32,5,10,0.4,4,0,8,0.8951,0.0665788600896
31,5,10,0.6,6,0,300,1.0789,0.156632709512
31,5,10,1.0,10,0,300,0.474,0.123732239594
31,5,10,0.8,8,0,300,0.6315,0.134495309921
33,5,10,0.4,4,0,93,1.5986,0.175900276954
32,5,10,0.6,6,0,72,0.3201,0.0343462115569
32,5,10,1.0,10,0,300,0.1034,0.015025434835
32,5,10,0.8,8,0,144,0.1034,0.015025434835
34,5,10,0.4,4,0,46,1.9091,0.147122280296
35,5,10,0.4,4,0,42,2.1718,0.200003083593
33,5,10,0.6,6,0,300,1.0295,0.125169158668
33,5,10,1.0,10,0,300,0.4024,0.0671404049833
33,5,10,0.8,8,0,300,0.6897,0.0902293708349
36,5,10,0.4,4,0,91,1.8911,0.201372430129
34,5,10,0.6,6,0,300,1.4552,0.130433548334
34,5,10,1.0,10,0,300,1.0836,0.116827661179
34,5,10,0.8,8,0,300,1.1184,0.117186291504
37,5,10,0.4,4,0,25,1.5361,0.119319738727
38,5,10,0.4,4,0,25,1.1606,0.101993194672
35,5,10,0.6,6,0,300,1.2348,0.147286147209
35,5,10,1.0,10,0,300,0.854,0.130135126012
35,5,10,0.8,8,0,300,0.7463,0.0919173624099
39,5,10,0.4,4,0,54,2.5483,0.234553920853
40,5,10,0.4,4,0,41,2.3347,0.210238835968
36,5,10,0.6,6,0,300,1.2205,0.16707210022
36,5,10,1.0,10,0,300,0.8666,0.158085837513
36,5,10,0.8,8,0,300,1.0929,0.161323467355
41,5,10,0.4,4,0,33,1.3188,0.130818028774
37,5,10,0.6,6,0,83,0.6507,0.0647704427915
42,5,10,0.4,4,0,17,1.6624,0.124840042845
37,5,10,1.0,10,0,300,0.2046,0.0377879011805
37,5,10,0.8,8,0,300,0.4409,0.0534505180148
43,5,10,0.4,4,0,86,2.022,0.258296397895
38,5,10,0.6,6,0,300,0.7647,0.0825878912887
