name,Phylogeny model,k,Accuracy
0,Perfect,1.0,0.10918216276
1,Perfect,1.0,1.58666738088e-16
2,Perfect,1.0,0.0106110098894
3,Perfect,1.0,0.0830374863708
4,Perfect,1.0,0.0737673036049
5,Perfect,1.0,0.0416741948034
6,Perfect,1.0,1.45837803204e-15
7,Perfect,1.0,0.0739338763633
8,Perfect,1.0,4.37046229227e-17
9,Perfect,1.0,2.99803833525e-16
10,Perfect,1.0,4.99634938378e-16
11,Perfect,1.0,0.142222397807
12,Perfect,1.0,2.82221376391e-17
13,Perfect,1.0,0.0197286188807
14,Perfect,1.0,0.0
15,Perfect,1.0,0.117497674351
16,Perfect,1.0,1.74750182174e-17
17,Perfect,1.0,0.11149609608
18,Perfect,1.0,0.0728997929554
19,Perfect,1.0,0.113490414209
20,Perfect,1.0,0.013535035157
21,Perfect,1.0,4.50229578013e-16
22,Perfect,1.0,0.265893707732
23,Perfect,1.0,2.29813323745e-16
24,Perfect,1.0,0.0132640671125
25,Perfect,1.0,0.00673326340178
26,Perfect,1.0,0.0764253544782
27,Perfect,1.0,0.0654703557453
28,Perfect,1.0,0.0460181533238
29,Perfect,1.0,3.32874166893e-16
30,Perfect,1.0,0.0
31,Perfect,1.0,2.14739069831e-15
32,Perfect,1.0,0.126939381818
33,Perfect,1.0,3.5009368601e-16
34,Perfect,1.0,0.076050310858
35,Perfect,1.0,0.00254394834047
36,Perfect,1.0,7.36312934508e-16
37,Perfect,1.0,3.19205768999e-16
38,Perfect,1.0,2.05159368937e-16
39,Perfect,1.0,3.00717962038e-16
40,Perfect,1.0,0.123556082522
41,Perfect,1.0,9.08354294919e-18
42,Perfect,1.0,0.123687242883
43,Perfect,1.0,1.49135980474e-16
44,Perfect,1.0,0.132662526499
45,Perfect,1.0,0.0
46,Perfect,1.0,0.00843855933165
47,Perfect,1.0,0.0538292569304
48,Perfect,1.0,0.0411083356121
49,Perfect,1.0,0.151409523161
50,Perfect,1.0,0.00973739296811
51,Perfect,1.0,1.10900936441e-15
52,Perfect,1.0,0.0116137081776
53,Perfect,1.0,0.0148864351737
54,Perfect,1.0,0.076552404638
55,Perfect,1.0,9.57056350902e-17
56,Perfect,1.0,0.0540205084151
57,Perfect,1.0,0.140299840559
58,Perfect,1.0,1.17929787483e-15
59,Perfect,1.0,0.0328594754905
60,Perfect,1.0,1.21351924166e-15
61,Perfect,1.0,0.0301887354027
62,Perfect,1.0,1.22969598322e-16
63,Perfect,1.0,6.75711417466e-17
64,Perfect,1.0,0.0459049864813
65,Perfect,1.0,1.96259902647e-15
66,Perfect,1.0,0.0
