matrix_name,num_samples,num_mutations,mut_mod,clone_used,k_persistent,time,total_error,accuracy
0,5,10,0.4,4,2,133,1.9809,0.171601189157
0,5,10,1.0,10,2,300,0.883,0.102701967199
0,5,10,0.8,8,2,300,0.8435,0.0883601643895
0,5,10,0.6,6,2,300,1.2724,0.119208463917
1,5,10,0.4,4,2,56,1.6582,0.145616382429
2,5,10,0.4,4,2,30,1.5229,0.184087744377
1,5,10,1.0,9,2,300,1.124,0.120328961447
1,5,10,0.8,8,2,300,1.138,0.129632542143
1,5,10,0.6,6,2,300,1.3582,0.133999077414
3,5,10,0.4,4,2,123,1.6098,0.134549768455
2,5,10,1.0,10,2,300,0.8158,0.146850430442
2,5,10,0.8,8,2,300,0.9346,0.14422342917
2,5,10,0.6,6,2,300,1.1071,0.167067678833
4,5,10,0.4,4,2,142,1.3199,0.124362665288
5,5,10,0.4,4,2,75,1.3592,0.115921015152
3,5,10,1.0,10,2,300,0.4735,0.0592384120443
3,5,10,0.8,8,2,300,0.6796,0.0738512482905
3,5,10,0.6,6,2,300,1.0988,0.0960830093649
6,5,10,0.4,4,2,245,1.4799,0.132629614263
4,5,10,1.0,10,2,300,0.6385,0.0844772234683
4,5,10,0.8,8,2,300,0.5511,0.0644150647373
4,5,10,0.6,6,2,300,0.8104,0.0948449836827
7,5,10,0.4,4,2,234,2.1468,0.227949947995
5,5,10,0.8,8,2,300,0.4721,0.0713852708368
5,5,10,1.0,10,2,300,0.4492,0.0728848019397
5,5,10,0.6,6,2,300,0.7812,0.0884919700673
8,5,10,0.4,4,2,180,1.6607,0.144379076651
6,5,10,0.6,6,2,300,0.9661,0.112383622718
6,5,10,0.8,8,2,300,0.6956,0.0913223231664
6,5,10,1.0,10,2,300,0.5217,0.0705709926149
9,5,10,0.4,4,2,161,1.718,0.15409544814
7,5,10,0.6,6,2,300,1.246,0.137739682118
7,5,10,0.8,8,2,300,0.9228,0.11370240961
7,5,10,1.0,10,2,300,0.8931,0.111589314216
10,5,10,0.4,4,2,300,2.0436,0.206197031023
11,5,10,0.4,4,2,23,1.1306,0.0850377593642
8,5,10,0.6,6,2,300,1.1906,0.118119990129
8,5,10,0.8,8,2,300,0.7667,0.0925849688918
8,5,10,1.0,10,2,300,0.4897,0.0749212463566
12,5,10,0.4,4,2,46,1.5795,0.166822885619
9,5,10,0.6,6,2,300,1.32,0.154834031886
9,5,10,0.8,8,2,300,0.9991,0.126238458104
9,5,10,1.0,10,2,300,0.8355,0.104311283564
13,5,10,0.4,4,2,300,2.2105,0.252778098659
